id,name,fsa_code,area,main_type,cuisine_group,price_level,rating,user_rating_count,menu_for_children,good_for_children,good_for_groups,accepts_non_cash,has_free_parking,has_paid_parking,open_24hrs,weekday_open_days,weekend_open_days,total_hrs,avg_daily_hrs,avg_weekday_hrs,avg_weekend_hrs
ChIJB24--RgZoFMR9KdwaaXpxj8,Lee Garden Cuisine,T6L,EastMill Woods,asian cuisine,chinese restaurant,moderate,3.3,282.0,False,True,True,True,True,False,False,5,2,68.5,9.785714285714286,9.5,10.5
ChIJeYs4oOIgoFMR8gECxQTL7uE,Red Lobster,T5S,WestNorthwest Industrial / Winterburn,other cuisine,seafood restaurant,moderate,4.1,4584.0,True,True,True,True,True,False,False,5,2,79.0,11.285714285714286,11.2,11.5
ChIJIxaPLQD1n1MRnAUrjeRl2Dg,Mirch Masala Indian Cuisine,T6W,Heritage Valley,asian cuisine,indian restaurant,inexpensive,4.8,469.0,False,True,True,True,True,False,False,5,2,79.0,11.285714285714286,11.2,11.5
ChIJn6--B6mKn1MRzyLMyv0QiY0,Tim Hortons,T6M,Southwest,beverage and bar,beverage shop,inexpensive,3.6,212.0,True,True,False,True,True,False,False,5,2,126.0,18.0,18.0,18.0
ChIJy8onDHYkoFMR07e73gKUiuE,Tasty Village Restaurant,T5L,NorthWestmount /  WestCalder /  EastMistatim,asian cuisine,chinese restaurant,inexpensive,4.5,177.0,False,True,True,True,True,False,False,4,2,62.0,10.333333333333334,10.25,10.5
ChIJC9X8gpUfoFMR1s51c2XnUc0,Donair Bros,T6R,Riverbend,fast or casual dining,fast food restaurant,inexpensive,4.9,824.0,False,False,True,True,True,False,False,5,2,77.25,11.035714285714286,11.15,10.75
ChIJ-1F_ftEjoFMREmTV18vI4Fg,Koutouki,T5M,SouthWestmount / Groat Estate /  EastNorthwest Industrial,western cuisine,greek restaurant,moderate,4.5,720.0,False,False,True,True,True,False,False,4,2,35.5,5.916666666666667,6.0,5.75
ChIJ0zmr7WMjoFMRPdlrZgAA4Hg,Edo Japan,T6B,SECapilano /  WestSoutheast Industrial /  EastBonnie Doon,fast or casual dining,fast food restaurant,inexpensive,4.8,83.0,False,True,False,True,True,False,False,5,2,90.0,12.857142857142858,13.0,12.5
ChIJMa4q2m8koFMRZCYRzlDPhqE,Dairy Queen Grill & Chill,T6V,The Palisades /  WestCastle Downs,fast or casual dining,fast food restaurant,inexpensive,3.9,586.0,True,True,True,True,True,False,False,5,2,82.5,11.785714285714286,11.7,12.0
ChIJJ0QS0-ofoFMRLJvwxMITcgw,Subway,T6R,Riverbend,fast or casual dining,fast food restaurant,inexpensive,4.1,191.0,True,True,False,True,True,False,False,5,2,96.0,13.714285714285714,14.0,13.0
ChIJsehTQVYfoFMRB5UCOkzLLJY,Buns & Roses Organic Bakery,T6H,Southgate /  NorthRiverbend,beverage and bar,bakery and dessert,inexpensive,4.7,186.0,False,False,False,True,True,False,False,4,1,40.0,8.0,8.0,8.0
